Stkcd,other_receivables,fix_assets_net,intangible_assets_net,ttl_assets,ttl_current_assets,net_assets,total_liab,current_liab,year,retained_earnings
000020,6351361.16,198229817.31,42968600.44,614163899.86,316673648.39,329428049.89,284735849.97,209339718.97,2019,-100320448.61000001
000021,82868835.42,1257681854.16,51871563.47,10181363678.63,7466563825.62,4156232930.45,6025130748.18,5996620119.22,2012,2321904913.43
000021,119061415.99,1224832836.29,88904893.56,13726551759.03,10962703321.35,4961145645.58,8765406113.45,8731273296.52,2013,2525450588.27
000021,49820094.2,1399978041.61,147904866.49,14450420809.11,11592727388.7,5059021451.72,9391399357.39,9361675033.32,2014,2627563982.8199997
000021,85302146.1,2114974965.8,146571183.65,14337515272.47,10483135874.46,5205680792.76,9131834479.71,8994649810.17,2015,2738265944.06
000021,42495135.26,2538767987.13,143829134.91,11717371549.69,7267703465.89,5297328420.94,6420043128.75,6225831380.05,2016,2879126518.66
000021,73015222.55,2438242010.56,229668387.68,16599483730.27,11209890772.5,5928759493.6,10670724236.67,10398244229.04,2017,3346866568.5899997
000021,148591057.13,2567338583.68,572892506.18,15996830984.81,10085960507.02,6769805989.69,9227024995.12,9009674142.53,2018,4186518724.85
000021,432814112.76,2719405217.99,565497772.28,18453360448.5,12003581440.21,7102109677.68,11351250770.82,11137979508.71,2019,4391693955.440001
000022,15984053,2701093453,1007534028,6781130450,615845779,4465009902,2316120548,1534276963,2012,2879612184
000022,12579679.85,2828481942.32,986041335.51,7346529214.7,994697713.59,4728076181.87,2618453032.83,1502316259.93,2013,3148457498.22
000022,42321002.73,3319843271.66,950021585.1,6935824199.68,755250161.64,4875599600.43,2060224599.25,969228568.21,2014,3314593914.85
000022,14908748.44,3213180964.08,1046896621.98,6913772876.99,923331501.79,5229310430.12,1684462446.87,1088042438.33,2015,3633441958.75
000022,26647869.01,3036813842.54,1010767451.01,6620476709.79,661362449.49,5636993736.42,983482973.37,584353786.2,2016,3901465322.42
000022,21209538.29,3929355718.6,1350224998.54,7975470563.32,1157869227.27,6567042909.63,1408427653.69,885299384.16,2017,4086157576.73
000023,11115003.95,122182728.16,8822498.02,1219044947.72,1053631042.86,407387375.76,811657571.96,755316617.34,2012,98483958.86
000023,11226435.97,122675305.28,10711765.08,1344913499.77,1182972906.72,415047218.56,929866281.21,925044400.94,2013,109352725.74000001
000023,11472057.83,123073991.65,9699875.4,1474001953.01,1309919802.64,424563337.7,1049438615.31,1033231521.33,2014,121049236.49000001
000023,17562541.74,118384495.38,8610485.72,1565865589.96,1405863320.49,446551533.67,1119314056.29,1112233918.71,2015,142229724.4
000023,24939302.31,90056117.94,7521096.04,1513965158.57,1365828327.58,455604217.64,1058360940.93,990451737.17,2016,145244105.38
000023,20491889.02,138183894.66,5015267.93,1951619399.48,1740906537.83,478798688.28,1472820711.2,1468600596.4,2017,170194631.31
000023,41370228.96,142161904.56,4129040.97,2320492790.97,2083810482.54,506960080.43,1813532710.54,1812811348.77,2018,189577303.62
000023,50715817.66,175399070.02,3233745.37,2519404048.35,2124820414.29,584900676.2,1934503372.15,1918584159.56,2019,232076505.95999998
000024,8183491572.92,435194977.76,0,109197242683.06,103072135426.85,29439279000.13,79757963682.93,65249112251.14,2012,13200881554.63
000024,13683883876.17,2038420991.55,542448651.42,134040446989.65,122852155635.23,38917167204.76,95123279784.89,74834927060.19,2013,16482251284.16
000024,8941860794.39,1845537869.92,511546467.17,151692365118.58,140250672660.43,43746779112.65,107945586005.93,80114292344.25,2014,19909806348.940002
000025,12294045.05,156061636.8,106588.62,644911292,136981631.38,201061516.24,443849775.76,286522644.61,2012,-44338892.94
000025,8028356.69,149968663.8,33255.04,700998151.85,165723929.48,203715255.76,497282896.09,321892113.27,2013,-37438173.9
000025,7904999.44,142849121.72,53924233.96,806324777.8,153482634.8,202330360.09,603994417.71,368492121.74,2014,-36073942.71
000025,11128001.89,136583565,52985273.37,1168667927.49,359395148.68,878588403.64,290079523.85,262359303.02,2015,6694846.8100000005
000025,16586387.45,129226236.16,53739118.72,1189001074.98,344969305.11,908536336.18,280464738.8,248879711,2016,33888409.44
000025,14819164.11,120296822.84,52349686.92,1403314594.42,457794904.94,998023573.89,405291020.53,348250860.17,2017,100751182.11999999
000025,14483208.41,112674017.53,51012282.25,1658295531,709005203.49,1099282215.87,559013315.13,517932798.46,2018,187675240.83999997
000025,44908546.4,107119796.59,50561225.67,1645782144.03,684337128,1339212996.79,306569147.24,300284118.12,2019,408430999.51
000026,33353606.26,317801267.87,36749627.18,3326763824.86,2494619092.41,1449085223.07,1877678601.79,1827789581.34,2012,535572357.39
000026,40436640.1,306888964.31,36168611.72,3558702591.28,2677299515.1,1538819591.75,2019882999.53,1445929074.52,2013,626420694.87
000026,41525719.27,323732870.58,35502525.72,3657781647.2,2706687646.44,1636480287.23,2021301359.97,1478381004.92,2014,732735044.26
000026,39847732.76,361979828.01,36429626.66,4246670045.02,3148091429.51,2302830324.64,1943839720.38,1448720995.77,2015,815160314.6999999
000026,33393017.28,611204169.03,38751903.42,4004897562.72,2827680732.26,2374948189.73,1629949372.99,1508668324.99,2016,881948508.19
000026,34990539.09,523699592.65,44223280.21,3579789692.9,2427898745.03,2467972876.98,1111816815.92,1026042462.92,2017,978290278.37
000026,45870582.26,425649562.85,43545477.61,3599691650.26,2457972575.96,2570140564.54,1029551085.72,1021361120.36,2018,1074376397.46
000026,47239844.58,363997098.94,38711821.26,3760923285.37,2660502096.9,2654539677.83,1106383607.54,1097759594.45,2019,1202541998.54
000027,105063883.61,13502852934.83,3036979381.2,32359212807.99,9547956283.96,17548851230.79,14810361577.2,9704013745.52,2012,8187490536.44
000027,84108024.9,13759446016.3,2945490308.01,33393505287.47,9814478967.21,18839452288.67,14554052998.8,11484757050.81,2013,9338272302.71
000027,201638125.85,14573717574.19,3400726538.54,38441387696.52,12413126642.82,20354585148.25,18086802548.27,14294769343.07,2014,10663090195.880001
000027,216211809.77,18315774602.25,3745965190.33,58067427403.34,15933753327.69,24867872869.23,33199554534.11,18060556332.33,2015,10551687660.46
000027,423754952.61,20376154282.03,3910439636.8,60862186184.77,13097055285.38,24827658558.19,36034527626.58,17854727289.79,2016,11051312534.82
000027,1439821970.5,30428012878.15,4077667455.56,77230930147.81,17565602091.8,24722596959.28,52508333188.53,24436857132.9,2017,11165600705.9
000027,1669001733.51,34641428802.31,4247694810.44,85073895248.88,20951031087.62,27483645870.76,57590249378.12,22517566553.59,2018,11496712795.33
000027,1314839944.41,35743959412.75,5008775488.26,96112048125.27,19550335560.46,33584853159.01,62527194966.26,33258061493.54,2019,12926572933.55
000028,32985425.6,690487633.12,155155071.2,9295839939.64,7863435090.02,1839051212.2,7456788727.44,7129837127.24,2012,1482243290.39
000028,29620899.71,766741590.63,150561964.46,11057896941.31,9465740842.8,2316637064.57,8741259876.74,8490369227.49,2013,1950857919.46
000028,28574927.9,745557829.35,144383753.87,12828941540.9,10992130165.46,4851215436.65,7977726104.25,7687757035.22,2014,2538081345.75
000028,38175884.46,1079412437.53,137720156.55,13218349735.31,11209955357.92,5566474957.27,7651874778.04,7326025505.34,2015,3226867218.21
